Município;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out
312620 Formoso;10;10;10;10;10;10;10;10;10;10
312650 Francisco Badaró;11;11;11;11;11;11;11;11;11;11
312670 Francisco Sá;50;50;50;50;50;50;50;50;50;50
312690 Frei Inocêncio;16;16;16;16;16;16;16;16;16;16
312710 Frutal;80;80;80;80;80;80;80;80;80;80
312760 Gouveia;26;26;26;26;26;26;26;26;26;26
312770 Governador Valadares;551;551;584;584;584;580;585;559;588;588
312780 Grão Mogol;48;48;48;48;48;48;48;48;48;48
312800 Guanhães;70;70;70;70;88;88;88;88;88;88
312810 Guapé;29;29;29;29;29;29;29;29;29;29
312820 Guaraciaba;23;23;23;23;23;23;23;23;23;23
312830 Guaranésia;39;39;39;39;39;39;39;39;39;39
312840 Guarani;30;-;-;-;-;-;-;-;-;-
312860 Guarda-Mor;16;16;16;16;16;16;16;16;16;16
312870 Guaxupé;93;93;93;93;93;93;93;93;93;93
312910 Gurinhatã;20;20;20;20;10;10;10;10;10;10
312940 Ibertioga;49;49;49;48;48;48;48;48;48;48
312950 Ibiá;26;26;40;40;40;40;40;40;40;39
312970 Ibiraci;12;12;12;12;12;12;12;12;12;12
312980 Ibirité;65;65;65;65;113;113;113;113;113;113
313010 Igarapé;-;-;-;20;-;-;-;-;-;-
313030 Iguatama;28;28;28;28;28;28;28;28;28;28
313050 Ilicínea;30;30;30;30;30;30;30;30;30;30
313090 Inhapim;48;48;48;48;48;48;48;48;48;48
313120 Ipanema;47;47;47;47;50;50;50;50;50;50
313130 Ipatinga;596;596;586;586;592;582;562;562;602;602
313150 Ipuiúna;18;18;18;18;18;18;18;18;18;18
313170 Itabira;221;219;210;262;260;260;260;260;260;242
313180 Itabirinha;20;20;20;20;20;20;20;20;20;20
313190 Itabirito;70;70;70;70;70;70;70;70;70;70
313210 Itacarambi;41;41;41;41;41;41;41;41;41;41
313220 Itaguara;45;45;45;45;45;45;45;45;45;45
313230 Itaipé;28;28;28;28;28;28;28;28;28;28
313240 Itajubá;187;187;187;187;176;176;176;176;176;176
313250 Itamarandiba;101;101;101;91;91;91;91;91;91;91
313270 Itambacuri;88;88;86;86;86;86;85;85;85;85
313290 Itamogi;24;24;24;24;24;24;24;24;24;24
313300 Itamonte;47;47;47;47;47;47;47;47;49;47
313310 Itanhandu;62;62;75;75;75;75;75;75;75;75
313320 Itanhomi;20;20;20;20;20;20;20;20;20;20
313330 Itaobim;62;62;62;62;62;62;62;62;63;63
313350 Itapecerica;54;54;54;54;54;54;54;54;54;54
313375 Itaú de Minas;34;34;34;34;34;34;34;34;34;34
313380 Itaúna;101;101;98;108;108;108;108;108;108;108
313420 Ituiutaba;220;220;220;220;220;220;227;227;227;227
313440 Iturama;65;65;85;79;79;79;79;79;83;83
313460 Jaboticatubas;31;31;31;31;31;31;31;31;31;31
313470 Jacinto;38;38;38;38;38;38;38;38;38;38
313480 Jacuí;12;12;12;12;12;12;12;13;12;12
313490 Jacutinga;37;37;37;37;37;37;37;37;37;37
313505 Jaíba;25;25;25;25;25;25;25;25;25;25
313510 Janaúba;151;151;151;151;151;151;156;156;156;156
313520 Januária;66;66;66;66;66;66;70;70;70;70
313540 Jeceaba;18;18;18;34;34;34;34;34;34;34
313580 Jequitinhonha;81;81;81;81;81;81;81;81;81;81
313600 Joaíma;33;33;33;33;33;33;33;33;33;33
313620 João Monlevade;117;117;123;125;125;125;132;132;132;132
313630 João Pinheiro;65;65;65;65;65;65;65;65;65;65
313650 Jordânia;27;27;27;27;27;27;27;27;27;27
313665 Juatuba;-;-;-;14;14;14;14;14;14;14
313670 Juiz de Fora;2385;2385;2385;2395;2371;2385;2367;2360;2353;2353
313690 Juruaia;14;14;14;14;14;14;14;14;14;14
313700 Ladainha;22;22;21;21;21;21;21;21;21;21
313710 Lagamar;9;9;9;9;9;9;9;9;9;9
313720 Lagoa da Prata;54;54;54;54;54;54;54;54;54;54
313750 Lagoa Formosa;19;19;19;19;19;19;19;19;19;19
313760 Lagoa Santa;77;77;76;77;77;77;77;77;77;77
313770 Lajinha;50;50;50;50;50;50;50;50;50;50
313780 Lambari;50;50;50;50;50;50;50;50;50;50
313790 Lamim;8;8;8;8;8;8;8;8;8;8
313800 Laranjal;23;23;23;23;23;23;23;23;23;23
313820 Lavras;179;179;179;232;272;272;272;272;272;272
313840 Leopoldina;87;87;87;97;97;112;122;122;122;122
313860 Lima Duarte;35;35;35;35;35;35;35;35;35;35
313880 Luz;44;44;44;44;44;44;44;44;44;47
313890 Machacalis;44;44;35;44;44;44;44;44;44;44
313900 Machado;56;56;56;56;56;56;56;56;56;56
313920 Malacacheta;34;34;25;25;25;25;25;25;25;25
313930 Manga;38;38;38;38;38;38;38;38;38;38
313940 Manhuaçu;214;214;228;228;228;228;202;202;202;210
313950 Manhumirim;68;68;68;68;68;68;68;68;68;95
313960 Mantena;82;82;82;82;82;82;82;82;82;82
313980 Mar de Espanha;38;38;38;38;38;38;38;38;38;38
313990 Maria da Fé;16;16;16;16;16;16;16;16;16;16
314000 Mariana;67;67;67;67;67;67;67;67;67;67
314050 Martinho Campos;18;18;18;18;18;18;18;18;18;18
314070 Mateus Leme;62;62;62;62;62;62;62;62;62;62
314090 Matipó;39;39;39;39;41;41;41;41;41;41
314100 Mato Verde;4;4;4;4;4;4;4;4;4;4
314110 Matozinhos;65;65;65;65;62;62;62;62;62;62
314120 Matutina;10;10;10;10;10;10;10;10;10;10
314140 Medina;56;56;56;56;56;56;56;56;56;56
314150 Mendes Pimentel;18;18;18;18;18;18;18;18;18;18
314160 Mercês;20;20;20;20;20;20;20;20;20;20
314180 Minas Novas;61;61;61;61;61;61;61;61;61;61
314190 Minduri;20;20;20;20;20;20;20;20;20;20
314200 Mirabela;30;30;30;30;30;30;30;30;30;30
314220 Miraí;48;48;48;48;48;48;48;48;48;48
314240 Moema;13;13;13;13;13;13;13;13;13;13
314260 Monsenhor Paulo;28;28;28;44;44;44;44;44;44;44
314270 Montalvânia;30;30;30;30;30;30;30;30;30;30
314280 Monte Alegre de Minas;22;22;22;22;22;22;22;22;22;22
314290 Monte Azul;39;39;39;39;39;39;39;39;39;39
314300 Monte Belo;20;20;20;18;18;18;18;18;18;18
314310 Monte Carmelo;192;192;191;191;191;177;170;170;170;170
314320 Monte Santo de Minas;50;50;50;50;50;50;50;50;50;50
314330 Montes Claros;925;925;925;925;890;867;883;958;898;898
314350 Morada Nova de Minas;20;20;20;20;20;20;20;20;20;20
314370 Morro do Pilar;-;-;-;-;-;-;1;1;1;1
314390 Muriaé;537;536;536;536;546;557;569;569;569;569
314400 Mutum;50;50;50;50;50;50;50;50;50;50
314410 Muzambinho;50;50;50;50;50;50;50;50;50;50
314430 Nanuque;66;66;66;66;66;66;66;66;66;75
314450 Nazareno;15;15;15;15;15;15;15;15;15;15
314460 Nepomuceno;34;34;34;34;34;34;34;34;34;34
314470 Nova Era;43;43;43;43;43;43;43;43;43;43
314480 Nova Lima;237;237;242;242;249;249;259;259;254;254
314500 Nova Ponte;23;23;23;23;23;23;23;23;23;23
314510 Nova Resende;26;26;26;18;18;18;18;18;18;18
314520 Nova Serrana;56;56;56;56;82;82;77;77;62;57
314530 Novo Cruzeiro;39;39;39;39;39;39;39;39;39;39
314560 Oliveira;85;85;85;85;115;111;111;101;101;101
314590 Ouro Branco;78;78;88;99;103;103;103;103;103;103
314600 Ouro Fino;50;50;50;50;50;50;50;50;50;50
314610 Ouro Preto;110;110;160;160;160;145;145;145;152;152
314630 Padre Paraíso;47;47;40;40;40;40;40;40;40;40
314650 Pains;18;18;18;18;18;18;18;18;18;18
314670 Palma;28;28;28;28;28;28;28;28;28;28
314710 Pará de Minas;116;116;116;116;116;116;116;116;116;116
314700 Paracatu;245;81;81;245;245;245;222;222;257;266
314720 Paraguaçu;33;33;33;33;33;33;33;33;33;33
314730 Paraisópolis;34;34;34;34;34;34;34;34;34;34
314740 Paraopeba;-;-;-;-;-;28;28;28;28;-
314760 Passa Quatro;49;49;49;49;49;49;49;49;50;49
314770 Passa Tempo;30;30;30;30;30;30;30;30;30;30
314750 Passabém;17;17;17;17;17;17;17;17;17;17
314790 Passos;315;315;315;345;345;345;345;345;345;345
314800 Patos de Minas;364;364;364;347;347;377;379;370;370;370
314810 Patrocínio;172;172;172;172;166;152;152;152;152;152
314860 Peçanha;34;34;34;34;34;34;39;39;39;52
314870 Pedra Azul;69;69;69;65;65;65;65;65;65;65
314910 Pedralva;13;13;13;17;17;17;17;17;17;17
314920 Pedrinópolis;20;14;14;14;14;14;14;14;14;14
314930 Pedro Leopoldo;59;59;59;59;59;59;59;59;59;59
314980 Perdizes;28;28;28;28;28;28;28;28;28;28
314990 Perdões;50;50;50;50;50;50;50;50;50;50
315030 Piedade do Rio Grande;14;14;14;14;14;14;14;14;14;14
315050 Pimenta;12;12;12;12;12;12;12;12;12;12
315080 Piranga;27;27;31;31;31;31;26;26;26;26
315110 Pirapetinga;32;32;32;32;32;32;32;32;32;32
315120 Pirapora;141;141;141;141;141;141;141;141;141;141
315140 Pitangui;56;56;56;56;56;56;56;56;50;50
315150 Piumhi;90;90;90;93;90;90;90;90;90;90
315160 Planura;6;6;6;6;6;6;6;6;6;6
315170 Poço Fundo;49;49;49;49;49;49;49;49;49;49
315180 Poços de Caldas;475;475;475;496;486;486;512;497;497;497
315190 Pocrane;18;18;18;18;18;18;18;18;18;18
315200 Pompéu;32;32;32;32;32;32;32;32;32;32
315210 Ponte Nova;216;216;216;216;225;225;275;275;275;275
315220 Porteirinha;46;46;46;46;46;46;46;46;46;46
315240 Poté;29;29;29;33;33;33;33;33;33;33
315250 Pouso Alegre;365;369;369;390;390;395;395;395;369;369
315260 Pouso Alto;27;27;27;27;27;27;27;27;27;27
315270 Prados;30;30;30;30;30;30;30;30;30;30
315280 Prata;30;30;30;30;30;30;30;30;30;30
315290 Pratápolis;16;16;16;16;16;16;16;16;16;16
315300 Pratinha;2;2;2;2;2;2;2;2;2;2
315310 Presidente Bernardes;18;18;18;18;18;18;18;18;18;18
315340 Presidente Olegário;18;18;18;18;18;18;18;18;18;18
315400 Raul Soares;56;56;56;56;56;56;56;56;56;56
315410 Recreio;34;34;34;34;34;34;34;34;34;34
315420 Resende Costa;49;49;49;49;49;49;49;49;49;49
315430 Resplendor;65;65;65;65;65;65;65;65;65;65
315460 Ribeirão das Neves;107;107;107;150;132;132;146;146;146;146
315470 Ribeirão Vermelho;12;12;12;12;12;12;12;12;12;12
315480 Rio Acima;-;-;-;-;-;6;6;6;6;6
315490 Rio Casca;40;40;40;40;40;40;40;40;40;40
315520 Rio Espera;18;18;18;18;18;18;18;18;18;18
315540 Rio Novo;-;-;-;39;39;39;39;39;39;39
315550 Rio Paranaíba;19;19;19;19;19;19;19;19;19;19
315560 Rio Pardo de Minas;40;40;40;40;40;40;40;40;40;40
315570 Rio Piracicaba;38;38;38;38;38;38;38;38;38;38
315580 Rio Pomba;61;61;61;61;61;61;61;61;61;61
315590 Rio Preto;17;17;17;17;17;17;17;17;17;17
315600 Rio Vermelho;32;32;32;32;32;32;32;32;32;32
315660 Rubim;35;35;35;35;35;35;35;35;35;35
315670 Sabará;113;113;113;113;113;113;108;108;108;108
315680 Sabinópolis;42;42;42;42;42;42;42;42;42;42
315690 Sacramento;50;50;51;51;51;51;51;51;51;51
315700 Salinas;78;78;91;113;113;173;161;161;161;161
315710 Salto da Divisa;15;15;15;15;15;15;15;15;15;15
315720 Santa Bárbara;53;53;53;53;53;53;53;53;50;50
315770 Santa Juliana;30;30;30;30;30;30;30;30;30;30
315780 Santa Luzia;69;69;119;119;119;119;119;157;157;157
315790 Santa Margarida;31;31;31;31;31;31;31;31;31;31
315800 Santa Maria de Itabira;13;13;13;13;13;13;13;13;13;13
315810 Santa Maria do Salto;6;6;6;6;6;6;6;6;6;6
315820 Santa Maria do Suaçuí;41;41;41;41;41;41;41;41;41;41
315920 Santa Rita de Caldas;43;43;43;43;43;43;43;43;43;43
315930 Santa Rita de Jacutinga;18;18;18;18;18;18;18;18;18;18
315960 Santa Rita do Sapucaí;48;48;48;48;48;48;48;48;48;48
315980 Santa Vitória;32;32;32;32;32;32;32;32;32;32
315990 Santo Antônio do Amparo;40;40;40;40;40;40;40;40;40;40
316030 Santo Antônio do Jacinto;8;8;8;8;8;8;8;8;8;8
316040 Santo Antônio do Monte;50;50;50;50;50;50;50;50;50;50
316070 Santos Dumont;75;75;75;75;75;75;75;75;75;75
316100 São Domingos do Prata;40;40;40;40;40;40;40;40;40;40
316110 São Francisco;59;59;59;55;55;55;55;55;55;55
312550 São Gonçalo do Rio Preto;8;8;8;8;8;8;8;8;8;8
316200 São Gonçalo do Sapucaí;47;47;47;47;47;47;47;47;47;47
316210 São Gotardo;44;44;44;44;45;45;51;51;51;51
316220 São João Batista do Glória;23;23;23;23;23;23;23;23;23;23
316240 São João da Ponte;37;37;37;31;31;31;31;31;31;31
316250 São João del Rei;219;219;219;227;227;227;226;226;235;213
316257 São João do Manteninha;-;-;-;-;-;-;-;-;-;12
316270 São João do Paraíso;50;50;50;48;48;48;48;48;48;48
316280 São João Evangelista;52;52;52;52;52;52;52;52;52;52
316290 São João Nepomuceno;47;47;47;47;47;47;56;56;56;56
316292 São Joaquim de Bicas;-;-;-;-;21;21;21;21;21;21
316370 São Lourenço;88;88;88;108;108;112;112;112;112;112
316390 São Pedro da União;9;8;8;8;8;8;8;8;8;8
316420 São Romão;18;18;18;18;18;18;18;18;18;18
316430 São Roque de Minas;10;10;10;10;10;10;10;10;10;10
316470 São Sebastião do Paraíso;334;334;334;334;334;334;334;334;334;334
316500 São Tiago;45;45;45;45;45;45;45;45;45;45
316510 São Tomás de Aquino;1;1;1;1;1;1;1;1;1;1
316530 São Vicente de Minas;30;30;30;30;30;30;30;30;30;30
316570 Senador Firmino;20;20;20;20;20;20;20;20;20;20
316680 Serra do Salitre;13;13;13;13;13;33;33;33;33;33
316690 Serrania;14;14;14;14;14;14;14;14;14;14
316710 Serro;56;56;56;56;56;56;56;56;56;56
316720 Sete Lagoas;344;344;344;339;339;339;341;341;341;341
316800 Taiobeiras;81;81;81;81;81;101;101;101;101;101
316840 Tarumirim;52;52;52;52;52;52;52;52;52;52
316850 Teixeiras;15;15;15;15;15;15;15;15;15;15
316860 Teófilo Otoni;321;321;321;320;308;319;315;315;315;322
316870 Timóteo;69;69;69;69;69;69;69;69;69;69
316890 Tiros;14;14;14;14;14;14;14;14;14;14
316920 Tombos;50;50;50;50;50;50;50;50;50;50
316930 Três Corações;142;142;142;126;134;134;137;137;137;137
316935 Três Marias;32;32;32;32;32;32;32;32;32;32
316940 Três Pontas;126;126;126;126;126;126;126;126;126;126
316960 Tupaciguara;-;-;-;-;-;-;18;15;15;15
316970 Turmalina;56;56;56;56;56;56;56;56;56;56
316990 Ubá;292;292;292;292;303;333;315;315;315;315
317005 Ubaporanga;2;2;2;2;2;2;2;2;2;2
317010 Uberaba;899;900;908;908;924;924;847;848;848;895
317020 Uberlândia;1272;1305;1305;1351;1351;1368;1361;1404;1411;1415
317040 Unaí;113;113;113;133;148;148;148;148;148;148
317043 União de Minas;34;34;34;34;34;34;34;34;34;34
317052 Urucuia;30;30;30;30;30;30;30;30;30;30
317070 Varginha;304;304;306;350;326;326;331;331;331;331
317080 Várzea da Palma;59;59;59;59;59;59;59;59;59;66
317090 Varzelândia;23;23;23;23;23;23;23;23;23;23
317100 Vazante;40;40;40;40;47;47;47;47;47;47
317120 Vespasiano;71;71;71;83;83;83;79;79;75;75
317130 Viçosa;230;230;230;230;239;253;245;245;245;245
317160 Virgem da Lapa;39;39;39;39;39;39;39;39;39;39
317170 Virgínia;27;27;27;27;27;27;27;27;27;27
317180 Virginópolis;49;49;49;49;49;49;49;49;49;49
317200 Visconde do Rio Branco;82;82;82;82;82;82;82;82;82;82
320010 Afonso Cláudio;58;58;58;58;58;58;58;58;58;58
320020 Alegre;50;50;50;50;50;50;50;50;50;50
320040 Anchieta;365;365;365;365;365;365;369;369;369;314
320050 Apiacá;16;16;16;16;16;16;16;16;16;16
320060 Aracruz;123;123;123;160;160;160;160;160;160;160
320070 Atilio Vivacqua;10;10;10;10;10;10;10;10;10;10
320080 Baixo Guandu;51;51;51;51;51;51;51;51;51;51
320090 Barra de São Francisco;86;86;86;86;86;86;86;86;86;86
320100 Boa Esperança;38;38;38;39;39;39;39;39;39;38
320120 Cachoeiro de Itapemirim;520;520;520;520;546;586;594;594;585;585
320130 Cariacica;333;333;333;333;333;333;333;354;354;354
320140 Castelo;55;55;55;55;53;49;55;55;55;55
320150 Colatina;484;484;477;468;468;468;490;490;491;491
320160 Conceição da Barra;16;16;16;16;16;16;16;16;16;16
320170 Conceição do Castelo;20;20;20;20;20;20;20;20;20;20
320190 Domingos Martins;102;102;102;102;102;102;102;102;102;102
320210 Ecoporanga;56;56;56;56;56;56;56;56;56;56
320220 Fundão;71;71;71;71;71;71;71;71;71;71
320230 Guaçuí;91;91;91;91;91;91;91;91;80;80
320240 Guarapari;59;59;59;59;59;59;59;59;59;59
320245 Ibatiba;50;50;50;50;50;50;50;50;50;50
320260 Iconha;28;28;24;24;24;24;24;24;24;24
320270 Itaguaçu;51;51;51;51;-;51;51;51;51;51
320280 Itapemirim;106;106;106;106;106;108;108;108;108;83
320290 Itarana;38;38;38;38;38;38;38;38;38;38
320300 Iúna;66;66;66;66;66;66;66;66;66;66
320305 Jaguaré;22;22;22;22;22;22;22;22;22;22
320310 Jerônimo Monteiro;26;26;26;26;26;26;26;26;26;26
320313 João Neiva;50;50;50;51;51;51;51;51;51;51
320316 Laranja da Terra;23;23;23;23;23;23;23;23;23;23
320320 Linhares;257;257;257;257;253;253;256;253;253;253
320332 Marataízes;94;94;94;94;94;94;94;94;94;94
320340 Mimoso do Sul;52;52;52;52;53;53;53;53;53;53
320350 Montanha;35;35;35;35;35;35;35;35;35;35
320360 Mucurici;19;19;19;19;19;19;19;19;19;19
320370 Muniz Freire;35;35;35;35;35;35;35;35;35;35
320380 Muqui;42;42;42;42;42;42;42;42;42;42
320390 Nova Venécia;61;61;61;61;61;61;61;61;61;61
320400 Pancas;9;9;15;15;15;15;15;15;15;15
320405 Pedro Canário;36;36;36;36;36;36;36;36;36;36
320410 Pinheiros;32;32;32;32;32;32;32;32;32;32
320420 Piúma;68;68;68;68;68;88;88;88;88;88
320435 Rio Bananal;26;26;26;26;26;26;26;26;26;26
320450 Santa Leopoldina;25;25;25;25;25;25;25;25;25;25
320455 Santa Maria de Jetibá;59;59;59;59;59;59;59;59;59;59
320460 Santa Teresa;69;69;69;69;69;59;59;59;59;59
320470 São Gabriel da Palha;142;142;142;142;142;142;142;142;142;142
320480 São José do Calçado;77;77;77;77;77;76;76;76;76;76
320490 São Mateus;283;283;283;283;298;298;298;298;298;298
320500 Serra;755;754;754;754;675;571;591;578;587;578
320503 Vargem Alta;30;30;30;30;30;30;30;30;30;30
320506 Venda Nova do Imigrante;101;101;101;101;101;101;101;101;101;101
320520 Vila Velha;864;864;946;947;1044;1027;1029;1016;1016;1016
320530 Vitória;1695;1695;1738;1744;1744;1782;1796;1872;1770;1770
330010 Angra dos Reis;286;286;286;358;358;378;378;326;326;314
330015 Aperibé;35;35;35;35;35;35;35;35;35;35
330020 Araruama;158;158;158;158;147;141;180;195;195;195
330022 Areal;21;21;21;21;21;21;21;21;21;21
330023 Armação dos Búzios;48;48;48;48;48;48;48;48;48;48
330025 Arraial do Cabo;79;79;79;79;79;79;79;79;79;79
330030 Barra do Piraí;276;280;280;280;280;269;269;269;260;260
330040 Barra Mansa;296;296;296;296;308;308;308;312;312;312
330045 Belford Roxo;285;285;293;328;347;337;353;353;417;405
330050 Bom Jardim;65;65;65;65;65;65;65;65;65;65
330060 Bom Jesus do Itabapoana;131;131;131;171;171;155;155;155;155;155
330070 Cabo Frio;538;538;538;586;587;586;586;586;586;586
330080 Cachoeiras de Macacu;103;103;103;103;103;103;103;103;68;68
330090 Cambuci;44;44;44;44;44;44;44;44;44;44
330100 Campos dos Goytacazes;1664;1664;1664;1664;1706;1709;1709;1709;1709;1709
330110 Cantagalo;83;83;83;83;83;83;83;83;83;83
330093 Carapebus;-;-;-;20;20;20;20;20;20;20
330120 Carmo;38;38;38;38;38;38;38;38;38;38
330130 Casimiro de Abreu;75;75;75;75;75;75;75;64;64;64
330140 Conceição de Macabu;36;36;36;36;24;24;21;21;21;21
330150 Cordeiro;38;38;50;50;50;40;40;40;40;40
330160 Duas Barras;16;16;16;30;30;30;30;30;30;30
330170 Duque de Caxias;925;977;1072;1064;1193;1195;1166;1068;1095;1095
330180 Engenheiro Paulo de Frontin;32;32;32;32;29;29;29;29;29;29
330185 Guapimirim;137;137;137;137;137;137;137;137;137;137
330190 Itaboraí;313;313;306;307;307;307;307;319;319;319
330200 Itaguaí;159;159;90;90;102;102;171;171;171;171
330205 Italva;-;-;-;-;-;-;-;56;56;56
330210 Itaocara;68;68;68;68;68;68;68;68;68;68
330220 Itaperuna;383;383;383;383;383;383;383;383;383;383
330225 Itatiaia;36;36;36;36;36;36;36;36;36;36
330227 Japeri;-;-;-;-;-;-;-;40;40;40
330230 Laje do Muriaé;30;30;30;30;30;30;30;30;30;30
330240 Macaé;506;506;507;507;483;485;485;485;485;485
330250 Magé;192;192;172;177;177;177;177;162;162;162
330260 Mangaratiba;62;62;62;72;72;72;62;62;62;62
330270 Maricá;141;141;141;290;257;257;257;257;257;258
330280 Mendes;10;10;27;45;45;45;45;45;45;45
330285 Mesquita;176;176;176;176;176;176;176;176;179;179
330290 Miguel Pereira;99;99;99;99;66;66;66;66;66;66
330300 Miracema;71;71;71;71;71;71;71;71;71;71
330310 Natividade;50;50;50;50;50;50;49;49;49;49
330320 Nilópolis;137;137;137;137;137;137;137;148;148;247
330330 Niterói;1719;1661;1739;1724;2066;2088;2079;1870;2097;2132
330340 Nova Friburgo;659;659;659;670;678;678;678;678;678;678
330350 Nova Iguaçu;971;971;971;956;956;915;915;915;915;915
330360 Paracambi;82;82;82;82;82;94;94;94;94;97
330370 Paraíba do Sul;126;126;123;123;123;123;123;123;123;123
330380 Paraty;37;37;47;37;83;83;83;83;83;83
330390 Petrópolis;1651;1651;1761;1811;1817;1817;1844;1860;1843;1777
330395 Pinheiral;31;31;31;31;31;31;31;31;32;33
330400 Piraí;57;57;57;57;57;57;57;57;57;57
330410 Porciúncula;1;1;1;1;1;1;1;1;1;1
330411 Porto Real;45;45;45;45;45;45;45;45;45;45
330412 Quatis;33;33;33;33;33;33;33;33;33;33
330414 Queimados;67;67;67;77;77;119;121;119;119;119
330415 Quissamã;74;74;74;85;85;85;84;84;84;84
330420 Resende;362;362;362;362;362;348;348;348;348;348
330430 Rio Bonito;112;112;112;147;147;127;118;118;118;118
330440 Rio Claro;41;41;41;41;41;41;41;41;41;41
330450 Rio das Flores;21;21;21;21;21;21;21;21;21;21
330452 Rio das Ostras;102;102;102;102;102;114;114;114;114;113
330455 Rio de Janeiro;13583;13933;14424;14689;14888;15498;16003;15577;15743;15829
330460 Santa Maria Madalena;23;23;23;23;23;23;23;23;23;23
330470 Santo Antônio de Pádua;171;171;170;192;192;192;192;192;192;151
330480 São Fidélis;111;111;111;111;111;111;111;111;111;111
330475 São Francisco de Itabapoana;30;30;30;30;33;33;33;33;33;33
330490 São Gonçalo;1457;1389;1412;1521;1581;1601;1529;1529;1533;1553
330500 São João da Barra;40;40;40;60;60;60;60;60;60;60
330510 São João de Meriti;166;166;166;166;136;136;136;136;136;136
330515 São José do Vale do Rio Preto;56;56;56;57;57;57;57;57;57;57
330520 São Pedro da Aldeia;61;61;61;61;69;72;72;72;72;72
330530 São Sebastião do Alto;48;48;48;48;48;48;48;48;48;48
330540 Sapucaia;-;-;-;-;4;4;4;4;4;4
330550 Saquarema;116;116;116;116;116;116;116;96;96;96
330555 Seropédica;27;27;27;27;27;36;36;36;36;36
330560 Silva Jardim;40;40;40;40;40;40;40;40;40;40
330570 Sumidouro;25;25;25;25;25;25;25;25;25;25
330575 Tanguá;214;214;214;214;214;214;214;214;214;214
330580 Teresópolis;391;391;391;395;395;395;395;395;395;395
330590 Trajano de Moraes;38;38;38;38;38;38;38;38;38;38
330600 Três Rios;266;266;266;258;258;258;258;258;258;258
330610 Valença;318;318;318;318;318;318;313;313;313;313
330615 Varre-Sai;38;38;38;38;38;38;22;26;26;26
330620 Vassouras;457;457;457;457;457;457;457;457;457;457
330630 Volta Redonda;747;747;745;859;978;978;924;929;929;929
350010 Adamantina;235;235;235;235;235;235;235;235;235;235
350050 Águas de Lindóia;42;42;42;42;42;30;30;30;30;30
350070 Agudos;60;60;60;60;60;60;57;55;55;55
350100 Altinópolis;31;31;31;31;31;31;31;31;31;31
350110 Alto Alegre;22;22;22;22;22;22;22;22;22;22
350130 Álvares Machado;20;20;20;20;20;20;20;20;20;20
350160 Americana;517;536;536;536;525;525;508;508;508;508
350170 Américo Brasiliense;177;193;193;193;193;193;193;193;193;193
350190 Amparo;392;392;392;392;392;392;392;392;392;392
350210 Andradina;127;127;127;127;127;127;127;127;127;127
350220 Angatuba;57;57;57;57;57;57;57;57;57;57
350250 Aparecida;104;104;104;104;104;104;104;104;106;106
350260 Aparecida d'Oeste;22;22;22;14;14;14;14;14;14;14
350270 Apiaí;45;45;51;51;51;51;51;56;56;56
350280 Araçatuba;435;394;394;394;394;394;412;412;412;412
350290 Araçoiaba da Serra;321;321;321;321;321;321;321;321;321;325
350310 Arandu;12;12;12;12;12;-;12;12;12;12
350320 Araraquara;442;442;472;443;444;450;450;452;452;453
350330 Araras;503;503;503;503;503;503;503;503;503;499
350340 Arealva;29;29;29;29;29;29;29;29;29;29
350380 Artur Nogueira;36;36;36;36;36;36;36;36;36;36
350390 Arujá;92;92;92;92;30;30;30;98;98;98
350400 Assis;285;278;278;278;288;288;288;288;288;278
350410 Atibaia;192;192;192;192;192;192;192;192;192;192
350420 Auriflama;44;44;44;44;44;44;44;44;40;40
350450 Avaré;159;159;159;159;159;159;159;159;159;159
350490 Bananal;15;15;15;15;15;15;15;15;15;15
350520 Bariri;51;51;51;51;51;51;51;51;51;51
350530 Barra Bonita;91;91;91;91;91;91;91;91;91;91
350550 Barretos;504;504;504;503;503;503;503;503;503;503
350570 Barueri;431;431;431;464;476;476;476;496;496;496
350580 Bastos;35;35;35;35;35;35;35;35;35;35
350590 Batatais;133;133;133;133;133;133;134;133;133;133
350600 Bauru;1228;1228;1228;1240;1290;1290;1290;1280;1280;1283
350610 Bebedouro;140;140;133;133;133;133;133;153;153;153
350630 Bernardino de Campos;23;23;23;23;23;23;23;23;23;23
350635 Bertioga;49;49;49;49;49;59;59;59;59;59
350640 Bilac;36;36;36;36;36;36;36;36;36;36
350650 Birigui;146;146;146;146;146;146;146;146;146;146
350670 Boa Esperança do Sul;14;14;11;11;11;11;11;11;11;11
350680 Bocaina;35;35;35;35;35;35;35;35;35;35
350700 Boituva;54;54;54;54;48;48;48;48;48;48
350710 Bom Jesus dos Perdões;12;12;12;12;11;11;11;11;11;11
350740 Borborema;26;26;26;26;26;26;26;26;26;26
350750 Botucatu;644;644;714;714;714;714;714;714;714;714
350760 Bragança Paulista;372;372;391;418;397;397;402;402;402;402
350790 Brotas;41;41;41;41;41;41;41;41;41;41
350810 Buritama;42;42;42;36;36;36;36;36;36;36
350840 Cabreúva;22;22;22;22;22;22;22;22;16;16
350850 Caçapava;178;178;178;178;178;178;188;176;176;176
350860 Cachoeira Paulista;16;16;21;21;21;21;21;21;21;21
350870 Caconde;62;62;62;62;62;62;62;62;62;62
350880 Cafelândia;48;48;48;48;48;48;48;48;48;48
350900 Caieiras;110;110;110;142;151;151;149;129;129;129
