Município;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out
140030 Mucajaí;22;22;22;22;22;22;22;22;22;22
140040 Normandia;20;20;20;20;20;20;20;24;24;24
140045 Pacaraima;13;13;13;13;13;15;15;15;15;15
140047 Rorainópolis;30;30;30;30;30;30;30;30;30;30
140050 São João da Baliza;15;15;15;15;15;15;15;15;15;15
140060 São Luiz;17;17;17;17;13;13;13;13;13;13
150010 Abaetetuba;224;224;319;319;319;319;300;281;281;281
150013 Abel Figueiredo;21;21;21;21;21;21;21;21;21;21
150020 Acará;33;33;33;33;33;33;33;33;33;33
150030 Afuá;30;30;30;30;30;30;30;30;30;30
150034 Água Azul do Norte;40;40;40;40;40;40;40;40;40;40
150040 Alenquer;97;97;97;97;97;97;97;97;97;97
150050 Almeirim;94;94;94;94;94;106;106;106;106;106
150060 Altamira;251;251;251;269;269;269;320;320;320;320
150070 Anajás;20;20;20;20;20;20;20;20;20;20
150080 Ananindeua;853;853;853;855;857;829;829;829;829;829
150085 Anapu;35;35;44;44;44;44;44;44;44;44
150090 Augusto Corrêa;86;86;86;86;86;86;86;86;86;86
150095 Aurora do Pará;58;58;58;58;58;58;58;58;58;58
150110 Bagre;15;15;15;15;15;15;15;15;15;15
150120 Baião;30;30;30;30;30;30;30;30;30;30
150125 Bannach;10;10;10;10;10;10;10;10;10;10
150130 Barcarena;144;145;145;181;169;169;160;160;140;140
150140 Belém;3559;3472;3573;4038;3844;3949;4120;4311;4314;4319
150145 Belterra;20;20;20;20;20;20;20;20;20;20
150157 Bom Jesus do Tocantins;31;31;31;31;31;31;31;31;31;31
150170 Bragança;344;344;355;344;369;369;369;369;369;369
150172 Brasil Novo;33;33;33;33;33;33;33;33;33;33
150175 Brejo Grande do Araguaia;24;24;24;24;24;24;24;24;24;24
150178 Breu Branco;44;44;44;44;44;44;44;44;44;44
150180 Breves;140;140;140;140;182;182;182;182;182;182
150190 Bujaru;43;43;43;43;43;43;43;43;43;43
150200 Cachoeira do Arari;20;20;20;20;20;20;20;20;20;20
150210 Cametá;183;183;183;183;183;183;183;183;183;185
150215 Canaã dos Carajás;73;73;73;73;123;123;123;123;123;123
