gid,UF,nome,PIB,PIB_percapita,classe
1728,RIO GRANDE DO NORTE,Viçosa,8834.245117,4759.830078,1
1868,RIO GRANDE DO NORTE,Fernando Pedroza,12757.6582,4261.069824,1
2802,MINAS GERAIS,Aricanduva,23447.10742,4561.689941,1
4413,BAHIA,Araci,172730.8906,3157.040039,1
4343,SÃO PAULO,Tremembé,393278.4688,9555.099609,1
583,TOCANTINS,Buriti do Tocantins,39691.94531,4695.049805,1
961,GOIÁS,Cezarina,145802.7656,18616.28906,2
2025,MARANHÃO,Vitorino Freire,122207.0156,3923.929932,1
3822,RONDÔNIA,Ariquemes,1040960.75,12169.13965,2
2420,PARAÍBA,Seridó,32620.47852,3232.629883,1
3890,PARANÁ,Castro,1097076.75,16116.65039,2
703,ALAGOAS,Santana do Mundaú,52134.53516,4330.470215,1
2473,PARAÍBA,Esperança,221022.5625,7163.27002,1
2444,PARAÍBA,Poço de José de Moura,17580.73438,4269.240234,1
1041,GOIÁS,Gouvelândia,120889.4844,25237.89063,3
676,RIO GRANDE DO SUL,Ibiraiaras,136556.0625,18657.75,2
1222,ESPIRITO SANTO,Pancas,123706.6484,6687.930176,1
1923,RIO DE JANEIRO,Cardoso Moreira,203775.7656,16326.87988,2
3871,PARANÁ,São Pedro do Iguaçu,84376.41406,12860.2998,2
2136,PARAÍBA,Uiraúna,65173.60938,4355.649902,1
718,ALAGOAS,Campo Alegre,182361.0313,3862.840088,1
5428,SANTA CATARINA,Morro da Fumaça,370818,22992.18945,3
285,RIO GRANDE DO SUL,Westfalia,67336.79688,23685.11914,3
3200,MINAS GERAIS,Catuti,22031.84961,4025.550049,1
1101,PIAUÍ,Cocal de Telha,15476.57129,3300.610107,1
4624,SÃO PAULO,Leme,1338844.125,15044.04004,2
4685,SÃO PAULO,Nova Europa,113681.1172,11264.48047,2
2031,MARANHÃO,Bequimão,64784.91797,3012.129883,1
3482,PARANÁ,Quedas do Iguaçu,477660.8438,14938.11035,2
2184,PARAÍBA,Maturéia,24164.58789,4008.060059,1
708,ALAGOAS,Passo de Camaragibe,59784.6875,4192.180176,1
4843,SÃO PAULO,São João das Duas Pontes,31190.76758,11859.61035,2
4798,SÃO PAULO,Promissão,771585.3125,20537.26953,2
3550,PERNAMBUCO,Santa Cruz,53805.15234,3639.909912,1
1288,SERGIPE,Pacatuba,153896,11957.73047,2
4394,BAHIA,Coribe,63455.30859,4260.180176,1
1676,RIO GRANDE DO NORTE,Messias Targino,21696.81641,5530.669922,1
1169,ESPIRITO SANTO,Alto Rio Novo,47128.93359,7635.930176,1
4689,SÃO PAULO,Novais,37936.86719,9546.269531,1
1270,PIAUÍ,Campo Grande do Piauí,20200.31055,3424.939941,1
3555,MINAS GERAIS,Inhapim,150295.2344,6023.370117,1
5283,SANTA CATARINA,Ermo,40582.92969,21854.0293,2
4412,BAHIA,Araças,97321.03125,7971.25,1
4386,BAHIA,Conceição do Almeida,69316.42969,3856.47998,1
861,GOIÁS,Orizona,234588.9844,15432.46973,2
1400,CEARÁ,Acarape,56133.10156,3592.060059,1
2422,PARAÍBA,Pilõezinhos,21413.59961,3914.72998,1
3245,MINAS GERAIS,Serra Azul de Minas,17296.31055,3861.649902,1
2619,MINAS GERAIS,Passa-Vinte,12662.7998,5939.399902,1
3477,PERNAMBUCO,Petrolina,2283346.25,8101.25,1
3640,MINAS GERAIS,Juruaia,72658.75,8366.969727,1
4418,BAHIA,Baianópolis,60239.99609,4243.75,1
4088,MATO GROSSO,Gaúcha do Norte,132122.6406,21327.30078,2
2796,MINAS GERAIS,Araújos,61315.71094,7971.359863,1
4823,SÃO PAULO,Santo Anastácio,225050.0781,10604.57031,2
2111,RIO GRANDE DO NORTE,Riacho da Cruz,13750.8291,4344.649902,1
3074,PARANÁ,Peabiru,130212.7344,9755.959961,2
3782,SÃO PAULO,Guzolândia,45986.60938,9352.570313,1
5236,PIAUÍ,Regeneração,60257.28125,3312.659912,1
2452,MARANHÃO,São José dos Basílios,27508.05469,3673.129883,1
1794,RIO DE JANEIRO,Queimados,1224457.75,8785.160156,1
5402,TOCANTINS,Sucupira,29328.91797,16846.01953,2
4401,BAHIA,Cruz das Almas,387271.4063,6782.569824,1
3166,MINAS GERAIS,São Sebastião do Oeste,141371.2813,24849.92969,3
871,TOCANTINS,Novo Jardim,21134.14648,8369.959961,1
2466,PARAÍBA,Alhandra,233951.8125,12351.61035,2
669,RIO GRANDE DO SUL,Alecrim,68632.77344,9454.849609,1
5194,PIAUÍ,Riacho Frio,16725.67969,3284.050049,1
2286,PARÁ,Marabá,3058909,15064.87988,2
5143,TOCANTINS,Angico,19860.26953,6018.259766,1
952,TOCANTINS,Palmeirópolis,63415.48047,7467.669922,1
3037,MINAS GERAIS,Santos Dumont,563264.25,11922.4502,2
4449,BAHIA,Feira de Santana,6358135.5,10745.41016,2
4731,SÃO PAULO,Pereiras,143394.9531,17755.68945,2
5511,SANTA CATARINA,Rio do Sul,1234667.5,20590.83008,2
326,RIO GRANDE DO SUL,Anta Gorda,92337.53125,14596.50977,2
586,TOCANTINS,Santa Fé do Araguaia,59609.53906,10286.37012,2
4595,BAHIA,Jaborandi,161163.7344,18118.46094,2
3228,MINAS GERAIS,Congonhal,89204.50781,8693.549805,1
2314,PARÁ,Portel,166577.4688,3403.360107,1
3254,MINAS GERAIS,Silveirânia,14646.60547,6678.799805,1
1434,RIO GRANDE DO SUL,Campo Bom,1244125.625,20956.86914,2
3160,MINAS GERAIS,São Romão,52772.86328,5433.220215,1
3140,MINAS GERAIS,São João das Missões,35754.64063,3173.389893,1
2222,PARÁ,Breves,300338.1563,2970.879883,1
3801,PARANÁ,Cerro Azul,182354.2656,9772.469727,2
1189,GOIÁS,Petrolina de Goiás,71342.0625,7090.950195,1
457,RIO GRANDE DO SUL,Coronel Bicaco,115668.9531,14511.21973,2
3908,PARANÁ,Pinhão,474849.625,15674.19043,2
3650,PERNAMBUCO,Bezerros,285545.9688,4893.339844,1
1106,TOCANTINS,Formoso do Araguaia,251944.9688,13459.32031,2
4740,SÃO PAULO,Piraju,347479.0313,11819.82031,2
1275,GOIÁS,Santo Antônio da Barra,71073.35156,16547.92969,2
4979,SANTA CATARINA,Três Barras,377119.4375,20158.18945,2
479,RIO GRANDE DO SUL,São Francisco de Assis,209910.5313,10602.08008,2
126,RORAIMA,Mucajaí,146580.0469,11114.65039,2
1054,SERGIPE,Maruim,157533.9688,10110,2
3679,MINAS GERAIS,Lima Duarte,117942.3672,7150.620117,1
3217,MINAS GERAIS,Comercinho,40922.23438,4738.02002,1
5275,SANTA CATARINA,Cunha Porã,231428.9688,20888.98047,2
5075,PIAUÍ,Paquetá,15219.06543,3247.77002,1
4951,AMAZONAS,Nova Olinda do Norte,108783.3438,3507.780029,1
5363,SANTA CATARINA,Itapoá,136989.625,11923.5498,2
1926,RIO DE JANEIRO,São Sebastião do Alto,83303.6875,9202.790039,1
269,BAHIA,Santaluz,129238.1406,3649.149902,1
1354,ESPIRITO SANTO,Vargem Alta,174520.0938,9364.169922,1
3281,MINAS GERAIS,Cordislândia,34203.63672,9138.030273,1
2942,MINAS GERAIS,Santa Helena de Minas,24735.28125,4037.75,1
3677,MINAS GERAIS,Leopoldina,510692.75,9907.709961,2
3686,MINAS GERAIS,Machado,624136,15797.30957,2
1027,PIAUÍ,Lagoinha do Piauí,9008.676758,3366.469971,1
2132,RIO GRANDE DO NORTE,Tenente Laurentino Cruz,25890.28125,4822.180176,1
3968,MATO GROSSO,São Pedro da Cipa,27307.92578,6439.029785,1
4222,BAHIA,Alagoinhas,1298216.375,9420.339844,1
5439,SANTA CATARINA,Ouro Verde,63212.08594,29009.67969,3
953,TOCANTINS,Paranã,63521.60156,5868.589844,1
1566,RIO GRANDE DO NORTE,São José de Mipibu,224160.2188,5836.899902,1
4280,SÃO PAULO,Cunha,127499.7031,5371.799805,1
3283,MINAS GERAIS,Coroaci,55665.79688,5000.970215,1
2927,MINAS GERAIS,Rubim,50577.96484,5132.209961,1
2624,MINAS GERAIS,Patrocínio do Muriaé,30995.88867,5522.160156,1
3223,MINAS GERAIS,Conceição do Pará,114920.3672,23617.00977,3
2333,PARAÍBA,Santo André,11492.10352,4245.330078,1
3112,MINAS GERAIS,Capitão Enéas,170824.125,11518.82031,2
1918,SÃO PAULO,Valinhos,3042457,28306.92969,3
2600,MINAS GERAIS,Nova Serrana,619228.5625,9110.719727,1
4308,SÃO PAULO,Florínia,97524.52344,34147.23828,3
2455,MINAS GERAIS,Pedro Leopoldo,865962.75,14661.42969,2
4520,BAHIA,Itiruçu,68143.16406,4049.629883,1
3792,PARANÁ,Novo Itacolomi,23699.01367,8439.820313,1
1572,AMAZONAS,Manaus,40486108,23286.06055,3
2552,PARAÍBA,Tenório,12547.22852,4295.529785,1
2831,MINAS GERAIS,Rio Espera,28883.20703,4292.990234,1
1299,ACRE,Senador Guiomard,217153.8594,11024.71973,2
977,GOIÁS,Jussara,188344.2188,9845.490234,2
3502,MINAS GERAIS,Guarani,78912.16406,7852.740234,1
4302,SÃO PAULO,Fernandópolis,978006.125,15392.21973,2
4790,SÃO PAULO,Riolândia,100229.5703,9507.639648,1
5190,PIAUÍ,São Gonçalo do Gurguéia,10072.89063,3959.469971,1
5407,TOCANTINS,Crixás do Tocantins,20361.16406,15796.08984,2
949,PIAUÍ,Jardim do Mulato,14268.64648,3304.459961,1
2029,MARANHÃO,Godofredo Viana,31905.39063,2846.919922,1
2694,MINAS GERAIS,Aguanil,29883.5918,6925.509766,1
2825,MINAS GERAIS,Ribeirão das Neves,1712842.5,4903.540039,1
2133,RIO GRANDE DO NORTE,Ruy Barbosa,17067.80664,4575.819824,1
61,BAHIA,Mulungu do Morro,39825.95703,2869.51001,1
372,RIO GRANDE DO SUL,Ajuricaba,129304.8672,17535.24023,2
788,ALAGOAS,Marechal Deodoro,620477.5,13028.9502,2
1204,PIAUÍ,Acauã,22335.97656,3037.26001,1
3609,MINAS GERAIS,Itutinga,55648.80469,13361.05957,2
3347,PERNAMBUCO,Limoeiro,269157.125,4702.009766,1
1414,CEARÁ,Aratuba,50276.91797,4029.23999,1
543,RIO GRANDE DO SUL,Boa Vista das Missões,54992.50391,26186.91016,3
1886,CEARÁ,Pindoretama,76975.75,4201.27002,1
2928,MINAS GERAIS,Sabará,1005070.625,7964.430176,1
3799,PARANÁ,Rio Branco do Sul,550602.9375,16613.44922,2
4313,BAHIA,Cabaceiras do Paraguaçu,58247.78516,3136.830078,1
3049,MINAS GERAIS,São Geraldo do Baixio,21757.00391,6286.330078,1
5369,SANTA CATARINA,Jardinópolis,23165.56445,12315.55957,2
3668,MINAS GERAIS,Lagoa Santa,672530.5,13949.15039,2
3240,MINAS GERAIS,Senador Cortes,14030.48047,6738.939941,1
2591,MINAS GERAIS,Nepomuceno,233659.2031,9289.889648,1
3991,MATO GROSSO,Cocalinho,93218.71875,15274.24023,2
892,PIAUÍ,Sebastião Barros,17421.07422,4079.879883,1
202,BAHIA,Tanque Novo,70092.85938,4256.819824,1
2989,MINAS GERAIS,Brás Pires,20628.42969,4469.870117,1
3756,MINAS GERAIS,Monte Azul,94946.1875,4157.379883,1
5061,SÃO PAULO,Mauá,6574846.5,15749.71973,2
150,BAHIA,Planaltino,31850.30078,3586.75,1
3326,MINAS GERAIS,Tupaciguara,294354.8438,12346.58008,2
1373,MATO GROSSO DO SUL,Alcinópolis,92977.22656,20592.96094,2
177,BAHIA,Serrinha,393287.0625,5324.839844,1
5157,SANTA CATARINA,Abdon Batista,35731.48438,12738.5,2
1588,MARANHÃO,Carutapera,67091.46875,3176.530029,1
2005,RIO DE JANEIRO,Cantagalo,622857.5,30324.11914,3
1546,CEARÁ,Boa Viagem,195497.7188,3476.379883,1
2930,MINAS GERAIS,Sacramento,527058.9375,22804.56055,3
4487,BAHIA,Ipiaú,271794.5938,6216.279785,1
5215,SANTA CATARINA,Bom Jardim da Serra,47566.69531,10852.54004,2
5095,SÃO PAULO,Várzea Paulista,1421194,13256.0498,2
1232,GOIÁS,Rio Quente,49451.97266,15053.87012,2
1134,PIAUÍ,Santana do Piauí,15979.00293,3186.23999,1
640,RIO GRANDE DO SUL,Carlos Gomes,20166.66992,11738.45996,2
4785,SÃO PAULO,Riversul,43661.61719,6696.569824,1
747,ACRE,Assis Brasil,48347.30078,8538.910156,1
2155,PARAÍBA,Araruna,78491.85156,3922.830078,1
3623,MINAS GERAIS,Jequitaí,44734.48438,5511.209961,1
4388,BAHIA,Conceição do Jacuípe,404286.2813,14052.83984,2
4474,BAHIA,Ibirapitanga,94739.74219,3911.149902,1
1078,GOIÁS,Acreúna,292935.1563,15220.57031,2
760,ALAGOAS,São Miguel dos Milagres,29789.48828,3919.149902,1
1104,MATO GROSSO,Pontes e Lacerda,523958.2813,13356.74023,2
2695,MINAS GERAIS,Águas Formosas,92617.00781,4796.319824,1
3885,PARANÁ,Imbituva,220502.3281,7693.72998,1
4422,SÃO PAULO,Alto Alegre,38369.39063,8992.120117,1
1462,ESPIRITO SANTO,João Neiva,162151.4375,11090.30957,2
5351,PIAUÍ,Valença do Piauí,90192.67188,4442.330078,1
2727,MINAS GERAIS,Pompéu,387824.6563,12958.16016,2
749,ACRE,Epitaciolândia,129641.0938,9114.25,1
3390,MINAS GERAIS,Veríssimo,77581.65625,19439.15039,2
5008,PIAUÍ,São João da Serra,22621.08203,3289.379883,1
1089,PIAUÍ,Coronel José Dias,13511.09668,3013.179932,1
3000,MINAS GERAIS,Cachoeira da Prata,29977.31836,7616.189941,1
3051,MINAS GERAIS,São Gonçalo do Pará,77404.92969,6882.890137,1
5032,SÃO PAULO,Bragança Paulista,2389078.25,16375.44043,2
4016,MATO GROSSO,General Carneiro,98700.05469,19630.08008,2
2495,MARANHÃO,São Roberto,17869.60352,3425.26001,1
2296,PARÁ,Nova Esperança do Piriá,69204.70313,2876.100098,1
2640,PARANÁ,Pato Branco,1345454.625,19176.94922,2
3115,MINAS GERAIS,Caraí,80639.375,3601.26001,1
2106,RIO GRANDE DO NORTE,Senador Georgino Avelino,20890.93164,5420.580078,1
